"","manual_route_override_count","route_distance_km","fuel_or_charge_cost","cost_per_km","completion_hours_clean","customer_rating_post_delivery","is_bad_outcome","order_value"
"manual_route_override_count",1,0.203336821541745,0.09935910263505,-0.034253718857526,-0.0151942001173271,-0.0572095752317482,0.062760389781903,0.000858800040290636
"route_distance_km",0.203336821541745,1,0.530694577210657,-0.50475857647211,0.0197286101823235,0.0231292265188668,0.0192844381586092,0.0449022556397596
"fuel_or_charge_cost",0.09935910263505,0.530694577210657,1,0.0193351000465114,0.0454867292435136,-0.0717376271850118,0.0529575106191958,-0.0401322385604214
"cost_per_km",-0.034253718857526,-0.50475857647211,0.0193351000465114,1,0.0391587390367093,-0.0938473559441203,0.0534300806458443,-0.0536473441067258
"completion_hours_clean",-0.0151942001173271,0.0197286101823235,0.0454867292435136,0.0391587390367093,1,-0.29739131246077,0.44931638457565,0.00692632300266981
"customer_rating_post_delivery",-0.0572095752317482,0.0231292265188668,-0.0717376271850118,-0.0938473559441203,-0.29739131246077,1,-0.641580182997402,-0.00236653630186476
"is_bad_outcome",0.062760389781903,0.0192844381586092,0.0529575106191958,0.0534300806458443,0.44931638457565,-0.641580182997402,1,-0.0386889971323309
"order_value",0.000858800040290636,0.0449022556397596,-0.0401322385604214,-0.0536473441067258,0.00692632300266981,-0.00236653630186476,-0.0386889971323309,1
